Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
tedbakerskoutlet.sk,NETIM,4.0,3.0,ZeroSSL,89,165,231,161,197,1,0,0,0,0,0,58065,403,Apache/2,3.39,0.32,0.63,0.0,0.0,2,3,0,0,False,18,True,False,Estonia,1
tisovec.com,"TUCOWS, INC.",4.0,3.0,Let's Encrypt,77,88,86,102,11,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,3.1,0.36,0.55,0.0,0.0,1,1,0,0,False,10,False,False,Czechia,0
gymsharks-sk.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,30,158,222,2,23,1,0,0,0,0,0,63119,200,Apache,3.06,0.13,0.73,0.0,0.07,1,3,0,1,False,14,False,True,United States,1
znalecbratislava.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,83,31,15,10,61,1,0,0,1,0,0,25234,200,nginx,3.62,0.32,0.63,0.0,0.0,1,3,0,0,False,18,True,False,Czechia,1
zadania-seminarky.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,19,89,221,218,111,1,1,1,1,0,0,197019,200,nginx,3.52,0.4,0.5,0.0,0.05,2,2,0,1,False,19,False,False,Czechia,0
zlatestranky.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,46,90,182,206,241,1,1,1,1,0,0,5610,200,FCR PROXY,3.37,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Czechia,0
lacne-topanky.sk,"WebHouse, s.r.o.",2.0,1.0,"CLOUDFLARE, INC.",72,104,21,80,1,7,0,0,0,0,0,13335,403,cloudflare,3.62,0.31,0.56,0.0,0.06,1,2,0,1,False,15,True,False,Canada,1
znalecnitra.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,80,31,15,10,61,1,0,0,1,0,0,25234,200,nginx,3.52,0.29,0.64,0.0,0.0,1,2,0,0,False,13,False,False,Czechia,1
floshoes.sk,Websupport s.r.o.,4.0,3.0,None,0,172,67,149,42,2,0,0,0,0,0,13335,0,None,2.85,0.27,0.64,0.0,0.0,2,2,0,0,False,10,True,False,None,1
nemsova.sk,"Netropolis, s.r.o.",4.0,3.0,Let's Encrypt,38,217,67,28,19,1,1,1,1,0,0,5578,200,Apache,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
dolnybadin.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,78,88,86,102,5,1,1,1,1,0,1,39392,200,Microsoft-IIS/8.5,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Czechia,0
hotelvillabianca.sk,"IMAFEX, s.r.o.",4.0,1.0,Let's Encrypt,59,37,58,5,244,1,1,1,1,0,1,28952,200,Apache,3.64,0.37,0.58,0.0,0.0,2,2,0,0,False,18,False,False,Slovakia,0
dldviktoria.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,1.0,Let's Encrypt,13,92,240,253,17,1,1,1,1,0,0,29405,200,None,3.38,0.29,0.64,0.0,0.0,2,4,0,0,False,13,False,False,Slovakia,0
pikolinosbratislava.sk,NETIM,4.0,3.0,Google Trust Services,47,172,67,211,83,2,0,0,0,0,0,13335,403,cloudflare,3.54,0.36,0.59,0.0,0.0,1,3,0,0,False,21,True,False,Canada,1
senica.sk,"Slovanet, a. s.",4.0,3.0,Let's Encrypt,17,37,9,175,179,1,1,1,1,0,1,51013,200,openresty,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
siea.sk,Websupport s.r.o.,4.0,3.0,None,40,188,166,66,228,1,1,1,1,0,0,14061,200,Apache,2.52,0.43,0.43,0.0,0.0,3,2,0,0,False,6,False,False,The Netherlands,0
lunchboxsk.sk,Gransy s.r.o.,4.0,4.0,Let's Encrypt,6,77,78,104,3,1,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),3.39,0.15,0.77,0.0,0.0,1,4,0,0,False,12,False,True,Czechia,1
refresher.sk,Websupport s.r.o.,4.0,1.0,Google Trust Services,71,104,26,15,220,3,1,1,1,0,1,13335,200,cloudflare,2.63,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Canada,0
ziar.sk,Arrabella s.r.o.,4.0,3.0,Let's Encrypt,61,3,123,67,122,1,1,1,1,1,1,16509,200,nginx,2.81,0.29,0.57,0.0,0.0,2,2,0,0,False,6,False,False,Germany,0
skicentrumkalnica.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,27,37,9,175,131,1,1,1,1,0,0,51013,200,openresty,3.58,0.3,0.65,0.0,0.0,1,3,0,0,False,19,False,False,Slovakia,0
swarovskisk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,68,158,222,2,48,1,0,0,0,0,0,63119,200,Apache,2.9,0.21,0.71,0.0,0.0,1,3,0,0,False,13,False,True,United States,1
allenedmondsoutlet.sk,NETIM,4.0,3.0,Let's Encrypt,59,196,196,53,205,1,0,0,0,0,0,41564,403,Apache/2,3.46,0.33,0.62,0.0,0.0,2,3,0,0,False,20,True,False,Latvia,1
financnasprava.sk,DataCentrum,4.0,2.0,DigiCert Inc,352,194,1,6,50,1,1,1,1,0,1,30898,200,None,3.22,0.29,0.65,0.0,0.0,1,3,0,0,False,16,False,False,Slovakia,0
